country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
North Korea,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,3000,0,0
Paraguay,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100k,0,1860
Palestine,0,0,0,,0,0,0,0,0,0,0,0,0,943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reunion,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157k,0,0,0
Romania,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527,0,0,4740,0,0,1,0,0,0,0,0,0
Russia,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150k,0,4540,0,798,2940,0,1,0,0,0,0,0,0
Rwanda,0,0,0,,0,0,0,0,2020,0,0,0,0,0,0,0,0,0,0,0,0,246,0,0,0,0,116,0,3010,564,174,0,719,0,544,0,335,0,0
Saudi Arabia,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,109,0,0,0,0,0,0,0
Serbia and Montenegro,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699,0,170,0,0,0,0,0,0,0
Sudan,0,0,0,,0,0,449,0,0,0,0,0,0,0,0,0,0,60,41.6k,0,0,12,0,0,0,0,2500,0,25.5k,4320,2550,0,1330,205,8210,8100,29.9k,8220,227
Senegal,0,0,0,,0,0,0,0,303,0,0,0,0,0,0,3400,0,0,0,0,0,0,0,0,0,3220,0,0,3080,0,0,0,199,0,867,23.3k,0,2840,0
Singapore,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2020,0,238,0,0,0,0,0,0
Sierra Leone,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,3350,0,0,0,0,0,0,0,0,0,0,1180,2080,1830,3360,38,15,0,100,689,0,0,0,1920
El Salvador,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5780,350,0,0,9300,0,0,1670,0,235,0,2410,50.3k,0,0,0,0,0
Somalia,0,0,0,,0,0,0,2670,0,0,0,0,0,0,0,6080,8400,0,0,0,0,0,0,0,17.1k,0,5800,1540,15k,190,3180,144,1280,0,0,212,6020,36.8k,676
Sao Tome and Principe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,1090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweden,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,0,0,0,0,0,0
Eswatini,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2260,0,0,0,80,0,0,0,1480,0,0,0,0,0,0,0,0
Seychelles,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5460,0,0,0
Syria,0,0,0,,0,0,0,4250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,0,9790,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7230,0,0,13.5k,0,0,0,0,1410,3070,0,0,10.9k,3560,0,142,3710,6120,236,0,1780
Togo,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1670,0,0,0,0,0,0,0,2980,0,3910,0,0,1800,589,830,0,0,0,0,0
Thailand,0,0,0,,0,0,0,2900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2040,0,9,11,22,0,0,0,0
Tajikistan,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7520,15.8k,0,203,0,0,0,256,0,0,0,0,0
Timor-Leste,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0
Turkey,0,0,0,,0,0,0,100k,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,242,0,0
Taiwan,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250k,0,0,0,346,0,0,0,0,0,0
Tanzania,0,0,0,,0,0,0,6550,0,0,12,0,0,163,0,128,0,590,0,0,200,2310,0,0,0,0,0,44.7k,43.1k,585,935,540,158,0,0,582,1480,403,0
Uganda,0,0,0,,0,0,0,0,0,0,0,0,156,0,0,0,367,0,0,1120,1370,100,50,0,0,0,20,100k,630,2340,982,23,0,277,56,747,4800,3810,416
Ukraine,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,5540,0,102,0,0,0,0,0,0,0,0,0,0,0
USA,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,403k,0,0,0,0,0,0,0,0,3870,0,0,0,0,0,0
Uzbekistan,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,0,0,0
Venezuela,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,9580,985,32,0,0,32.3k,0,0,0,0,0,0,0,0,0,0,0,0,0
Vietnam,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,9750,0,8230,0,0,0,63,23,93,99,0,27,0
Yemen,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,0,0,0,0,179,0,0,0
Yugoslavia,0,0,209,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.3k,0,13.4k,0,179,0,0,0,762
Zambia,0,0,0,,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,752,13.2k,11.7k,0,0,0,0,0,0,13.5k,1390,436,0,4010,0,7640,110,120,0
Zimbabwe,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5910,0,0,0,501k,0,399,514,2920,0,456,790,0,1270,0,10.1k,31.1k
